name,email,phone,password,supplement,wallet,change_pass,situation,bill
amir,amirr,09898,1234,NA,0,user,NW,0
tara,taraa,9988,5656,NA,0,user,NW,0
reza,rezaa,888,0989,NA,100,user,ok,0
elham,elhamm,8888,1111,NA,100,user,ok,450
negar,negarr,999,2222,NA,100,user,ok,900
panah,panahh,6666,4321,NA,150,user,ok,0
pouya,pouyaa,111,9999,NA,700,user,ok,450
popopo,lora66@outlook.com,888888,77,NA,0,user,NW,0
uuu,pouya@gmail.com,098988,u89898,NA,0,user,NW,0
narges,narges@gmail.com,767676,888777,requested,0,user,NW,0
ava,ava1@gmail.com,009988,123321,NA,100,user,ok,0
